species.name	database	reviewed	isoforms	whole.proteome..Uniprot.	uncovered.whole.proteome	whole.proteome..interactome.available	interactome..but.not.in.Uniprot	reference.proteome..Uniprot.	uncovered.reference.proteome	reference.proteome..interactome.available	interactome..but.not.in.Uniprot.1	Overlap.between.interactome.and.the.reference.proteome..fraction	Overlap.between.interactome.and.the.whole.proteome..fraction	revieweddatabaseisoforms
Caenorhabditis elegans	X0469.IntAct.	1	FALSE	27499	22737	4762	6	26718	21978	4740	28	0.177408488659331	0.173132157789493	1.X0469.IntAct..FALSE
Arabidopsis thaliana	IMEx	1	FALSE	77169	71708	5461	32	31408	26211	5197	296	0.165467396841569	0.0707374256810145	1.IMEx.FALSE
Arabidopsis thaliana	X0469.IntAct.	1	FALSE	77169	71975	5194	30	31408	26471	4937	287	0.157189251146205	0.0672789212574967	1.X0469.IntAct..FALSE
Homo sapiens	IMEx	2	TRUE	42159	24960	17199	2575	42153	24954	17199	2575	0.408013664507864	0.384472660616086	2.IMEx.TRUE
Homo sapiens	X0469.IntAct.	2	TRUE	42159	25860	16299	2289	42153	25854	16299	2289	0.386662870970038	0.364353735413779	2.X0469.IntAct..TRUE
Mus musculus	IMEx	2	TRUE	24967	17598	7369	1234	24961	17593	7368	1235	0.29518048155122	0.281248807297431	2.IMEx.TRUE
Mus musculus	X0469.IntAct.	2	TRUE	24967	20510	4457	615	24961	20505	4456	616	0.178518488842594	0.170108011144613	2.X0469.IntAct..TRUE
strain ATCC 204508	IMEx	2	TRUE	6751	781	5970	52	6751	781	5970	52	0.88431343504666	0.877554020285168	2.IMEx.TRUE
strain ATCC 204508	X0469.IntAct.	2	TRUE	6751	1271	5480	45	6751	1271	5480	45	0.811731595319212	0.805526973394091	2.X0469.IntAct..TRUE
strain K12	IMEx	2	TRUE	4445	1264	3181	10	4315	1138	3177	14	0.736268829663963	0.714029180695847	2.IMEx.TRUE
strain K12	X0469.IntAct.	2	TRUE	4445	1296	3149	9	4315	1169	3146	12	0.729084588644264	0.706846240179574	2.X0469.IntAct..TRUE
Drosophila melanogaster	IMEx	2	TRUE	4695	1794	2901	7487	4665	1765	2900	7488	0.621650589496249	0.238138236742735	2.IMEx.TRUE
Drosophila melanogaster	X0469.IntAct.	2	TRUE	4695	1807	2888	7437	4665	1778	2887	7438	0.618863879957128	0.237071088491217	2.X0469.IntAct..TRUE
Caenorhabditis elegans	IMEx	2	TRUE	5067	3411	1656	3402	5066	3410	1656	3402	0.326885116462692	0.195536663124336	2.IMEx.TRUE
Caenorhabditis elegans	X0469.IntAct.	2	TRUE	5067	3509	1558	3254	5066	3508	1558	3254	0.30754046585077	0.183965049002243	2.X0469.IntAct..TRUE
Arabidopsis thaliana	IMEx	2	TRUE	17044	13064	3980	1527	16972	12993	3979	1528	0.234444968182889	0.214312637983953	2.IMEx.TRUE
Arabidopsis thaliana	X0469.IntAct.	2	TRUE	17044	13299	3745	1491	16972	13228	3744	1492	0.220598633042658	0.201658499811534	2.X0469.IntAct..TRUE
Homo sapiens	IMEx	2	FALSE	20120	5356	14764	2558	20114	5350	14764	2558	0.734016108183355	0.651027427462739	2.IMEx.FALSE
Homo sapiens	X0469.IntAct.	2	FALSE	20120	6069	14051	2275	20114	6063	14051	2275	0.698568161479567	0.619587265190934	2.X0469.IntAct..FALSE
Mus musculus	IMEx	2	FALSE	16831	9603	7228	1229	16827	9600	7227	1230	0.429488322339098	0.400221483942414	2.IMEx.FALSE
Mus musculus	X0469.IntAct.	2	FALSE	16831	12452	4379	612	16827	12449	4378	613	0.260177096333274	0.242469545957918	2.X0469.IntAct..FALSE
strain ATCC 204508	IMEx	2	FALSE	6721	751	5970	52	6721	751	5970	52	0.888260675494718	0.881441015798022	2.IMEx.FALSE
strain ATCC 204508	X0469.IntAct.	2	FALSE	6721	1241	5480	45	6721	1241	5480	45	0.815354857908049	0.809094935774398	2.X0469.IntAct..FALSE
strain K12	IMEx	2	FALSE	4434	1256	3178	10	4306	1132	3174	14	0.737111007895959	0.715121512151215	2.IMEx.FALSE
strain K12	X0469.IntAct.	2	FALSE	4434	1287	3147	9	4306	1162	3144	12	0.730143985137018	0.708145814581458	2.X0469.IntAct..FALSE
Drosophila melanogaster	IMEx	2	FALSE	3385	700	2685	7487	3358	674	2684	7488	0.799285288862418	0.2469646799117	2.IMEx.FALSE
Drosophila melanogaster	X0469.IntAct.	2	FALSE	3385	711	2674	7437	3358	685	2673	7438	0.796009529481834	0.245952906548933	2.X0469.IntAct..FALSE
Caenorhabditis elegans	IMEx	2	FALSE	3802	2191	1611	3402	3801	2190	1611	3402	0.423835832675612	0.223625763464742	2.IMEx.FALSE
Caenorhabditis elegans	X0469.IntAct.	2	FALSE	3802	2288	1514	3254	3801	2287	1514	3254	0.398316232570376	0.210161021654636	2.X0469.IntAct..FALSE
Arabidopsis thaliana	IMEx	2	FALSE	14986	11020	3966	1527	14914	10949	3965	1528	0.265857583478611	0.240174408042149	2.IMEx.FALSE
Arabidopsis thaliana	X0469.IntAct.	2	FALSE	14986	11253	3733	1491	14914	11182	3732	1492	0.250234678825265	0.226064312965542	2.X0469.IntAct..FALSE
Homo sapiens	IMEx	3	TRUE	135870	133441	2429	17345	50788	49855	933	18841	0.0183704812160353	0.0158535391443397	3.IMEx.TRUE
Homo sapiens	X0469.IntAct.	3	TRUE	135870	133701	2169	16419	50788	49916	872	17716	0.0171694100968733	0.0141565773586137	3.X0469.IntAct..TRUE
Mus musculus	IMEx	3	TRUE	63662	62464	1198	7405	33043	32622	421	8182	0.0127409738825167	0.0168573318136406	3.IMEx.TRUE
Mus musculus	X0469.IntAct.	3	TRUE	63662	63065	597	4475	33043	32798	245	4827	0.00741458100051448	0.00840052344970239	3.X0469.IntAct..TRUE
Drosophila melanogaster	IMEx	3	TRUE	39183	31705	7478	2910	18651	11939	6712	3676	0.359873465229746	0.177654241797924	3.IMEx.TRUE
Drosophila melanogaster	X0469.IntAct.	3	TRUE	39183	31755	7428	2897	18651	11961	6690	3635	0.358693903812128	0.176466395837788	3.X0469.IntAct..TRUE
Caenorhabditis elegans	IMEx	3	TRUE	23697	20301	3396	1662	22917	19545	3372	1686	0.14713967796832	0.133916952561221	3.IMEx.TRUE
Caenorhabditis elegans	X0469.IntAct.	3	TRUE	23697	20449	3248	1564	22917	19691	3226	1586	0.140768861543832	0.128080760282346	3.X0469.IntAct..TRUE
Arabidopsis thaliana	IMEx	3	TRUE	62183	60688	1495	4012	16494	15262	1232	4275	0.074693828058688	0.0225847873706473	3.IMEx.TRUE
Arabidopsis thaliana	X0469.IntAct.	3	TRUE	62183	60722	1461	3775	16494	15289	1205	4031	0.0730568691645447	0.0220711534103784	3.X0469.IntAct..TRUE
Homo sapiens	IMEx	3	FALSE	135870	133441	2429	14893	50788	49855	933	16389	0.0183704812160353	0.0161113801131577	3.IMEx.FALSE
Homo sapiens	X0469.IntAct.	3	FALSE	135870	133701	2169	14157	50788	49916	872	15454	0.0171694100968733	0.0143868190471137	3.X0469.IntAct..FALSE
Mus musculus	IMEx	3	FALSE	63662	62464	1198	7259	33043	32622	421	8036	0.0127409738825167	0.0168920347992837	3.IMEx.FALSE
Mus musculus	X0469.IntAct.	3	FALSE	63662	63065	597	4394	33043	32798	245	4746	0.00741458100051448	0.00841781700765641	3.X0469.IntAct..FALSE
Drosophila melanogaster	IMEx	3	FALSE	39183	31705	7478	2694	18651	11939	6712	3460	0.359873465229746	0.178570575733696	3.IMEx.FALSE
Drosophila melanogaster	X0469.IntAct.	3	FALSE	39183	31755	7428	2683	18651	11961	6690	3421	0.358693903812128	0.177376602908518	3.X0469.IntAct..FALSE
Caenorhabditis elegans	IMEx	3	FALSE	23697	20301	3396	1617	22917	19545	3372	1641	0.14713967796832	0.134155013036265	3.IMEx.FALSE
Caenorhabditis elegans	X0469.IntAct.	3	FALSE	23697	20449	3248	1520	22917	19691	3226	1542	0.140768861543832	0.128308445919254	3.X0469.IntAct..FALSE
Arabidopsis thaliana	IMEx	3	FALSE	62183	60688	1495	3998	16494	15262	1232	4261	0.074693828058688	0.0225895649808858	3.IMEx.FALSE
Arabidopsis thaliana	X0469.IntAct.	3	FALSE	62183	60722	1461	3763	16494	15289	1205	4019	0.0730568691645447	0.0220758223659358	3.X0469.IntAct..FALSE
