species.name	database	reviewed	isoforms	whole.proteome..Uniprot.	uncovered.whole.proteome	whole.proteome..interactome.available	interactome..but.not.in.Uniprot	reference.proteome..Uniprot.	uncovered.reference.proteome	reference.proteome..interactome.available	interactome..but.not.in.Uniprot.1	Overlap.between.interactome.and.the.reference.proteome..fraction	Overlap.between.interactome.and.the.whole.proteome..fraction
strain K12	X0469.IntAct.	1	FALSE	4482	1335	3147	9	4306	1162	3144	12	0.730143985137018	0.700578806767587
Drosophila melanogaster	IMEx	1	FALSE	42560	32395	10165	8	22007	12608	9399	774	0.42709138001545	0.238794399548957
Drosophila melanogaster	X0469.IntAct.	1	FALSE	42560	32455	10105	8	22007	12640	9367	746	0.425637297223611	0.23738489005826
Caenorhabditis elegans	IMEx	1	FALSE	27501	22495	5006	2	26723	21741	4982	26	0.1864311641657	0.182016507290114
Caenorhabditis elegans	X0469.IntAct.	1	FALSE	27501	22740	4761	2	26723	21984	4739	24	0.177337873741721	0.173108388175835
Arabidopsis thaliana	IMEx	1	FALSE	77084	71617	5467	26	31392	26184	5208	285	0.165902140672783	0.0708987161198288
Arabidopsis thaliana	X0469.IntAct.	1	FALSE	77084	71887	5197	25	31392	26447	4945	277	0.157524209989806	0.0673972247438724
Homo sapiens	IMEx	2	TRUE	42169	24931	17238	2566	42163	24925	17238	2566	0.408841875578114	0.385335866770985
Homo sapiens	X0469.IntAct.	2	TRUE	42169	25844	16325	2280	42163	25838	16325	2280	0.387187818703603	0.364926791103163
Mus musculus	IMEx	2	TRUE	24976	17599	7377	1222	24970	17594	7376	1223	0.295394473368042	0.281586380639744
Mus musculus	X0469.IntAct.	2	TRUE	24976	20516	4460	609	24970	20511	4459	610	0.178574289146976	0.170242003206352
strain ATCC 204508	IMEx	2	TRUE	6751	781	5970	52	6751	781	5970	52	0.88431343504666	0.877554020285168
strain ATCC 204508	X0469.IntAct.	2	TRUE	6751	1271	5480	45	6751	1271	5480	45	0.811731595319212	0.805526973394091
strain K12	IMEx	2	TRUE	4445	1264	3181	10	4315	1138	3177	14	0.736268829663963	0.714029180695847
strain K12	X0469.IntAct.	2	TRUE	4445	1296	3149	9	4315	1169	3146	12	0.729084588644264	0.706846240179574
Drosophila melanogaster	IMEx	2	TRUE	4711	1798	2913	7474	4681	1769	2912	7475	0.622089297158727	0.239064423471481
Drosophila melanogaster	X0469.IntAct.	2	TRUE	4711	1811	2900	7425	4681	1782	2899	7426	0.619312112796411	0.237997537956504
Caenorhabditis elegans	IMEx	2	TRUE	5093	3430	1663	3391	5092	3429	1663	3391	0.326590730557738	0.196016030174446
Caenorhabditis elegans	X0469.IntAct.	2	TRUE	5093	3528	1565	3243	5092	3527	1565	3243	0.307344854673998	0.184464875058934
Arabidopsis thaliana	IMEx	2	TRUE	17152	13151	4001	1506	17079	13079	4000	1507	0.234205749751156	0.214438846607353
Arabidopsis thaliana	X0469.IntAct.	2	TRUE	17152	13387	3765	1469	17079	13315	3764	1470	0.220387610515838	0.201790116839961
Homo sapiens	IMEx	2	FALSE	20129	5334	14795	2549	20123	5328	14795	2549	0.735228345674104	0.652394391039774
Homo sapiens	X0469.IntAct.	2	FALSE	20129	6054	14075	2266	20123	6048	14075	2266	0.699448392386821	0.620645559573155
Mus musculus	IMEx	2	FALSE	16839	9604	7235	1217	16835	9601	7234	1218	0.42970002970003	0.400697828976518
Mus musculus	X0469.IntAct.	2	FALSE	16839	12457	4382	606	16835	12454	4381	607	0.26023166023166	0.242689410722198
strain ATCC 204508	IMEx	2	FALSE	6721	751	5970	52	6721	751	5970	52	0.888260675494718	0.881441015798022
strain ATCC 204508	X0469.IntAct.	2	FALSE	6721	1241	5480	45	6721	1241	5480	45	0.815354857908049	0.809094935774398
strain K12	IMEx	2	FALSE	4434	1256	3178	10	4306	1132	3174	14	0.737111007895959	0.715121512151215
strain K12	X0469.IntAct.	2	FALSE	4434	1287	3147	9	4306	1162	3144	12	0.730143985137018	0.708145814581458
Drosophila melanogaster	IMEx	2	FALSE	3401	702	2699	7474	3374	676	2698	7475	0.799644339063426	0.248183908045977
Drosophila melanogaster	X0469.IntAct.	2	FALSE	3401	713	2688	7425	3374	687	2687	7426	0.7963841138115	0.247172413793103
Caenorhabditis elegans	IMEx	2	FALSE	3820	2203	1617	3391	3819	2202	1617	3391	0.423409269442262	0.224240743308834
Caenorhabditis elegans	X0469.IntAct.	2	FALSE	3820	2300	1520	3243	3819	2299	1520	3243	0.398009950248756	0.210789072250728
Arabidopsis thaliana	IMEx	2	FALSE	15075	11088	3987	1506	15002	11016	3986	1507	0.265697906945741	0.240455943549846
Arabidopsis thaliana	X0469.IntAct.	2	FALSE	15075	11322	3753	1469	15002	11250	3752	1470	0.250099986668444	0.226343405102225
