NAME	detection of chemical stimulus involved in sensory perception of bitter taste	humoral immune response mediated by circulating immunoglobulin	ion transport	cation transport	sodium ion transport	chloride transport	complement activation, classical pathway	humoral immune response	homophilic cell adhesion via plasma membrane adhesion molecules	neuropeptide signaling pathway	single fertilization	glycoprotein metabolic process	glycoprotein biosynthetic process	DNA integration	monovalent inorganic cation transport	inorganic anion transport	ion transmembrane transport	sperm-egg recognition	sensory perception of taste	detection of chemical stimulus involved in sensory perception of taste	transmembrane transport	glycosylation	potassium ion transmembrane transport	cation transmembrane transport	inorganic ion transmembrane transport	inorganic anion transmembrane transport	cell-cell adhesion via plasma-membrane adhesion molecules	chloride transmembrane transport
single fertilization	-0.04420334884033346	-0.035703378772316136	-0.06961592754169343	-0.04729049242892698	-0.015942794823651893	-0.05339871137488227	-0.05653487606146152	-0.03899178387411287	-0.06626431521927331	-0.059417641158120774	1.0	-0.07536305248837293	-0.08525493484380481	-0.02518652871099422	-0.03893762607815763	-0.06626431521927331	-0.06278343682411204	0.6438748478556591	-0.05257111762749707	-0.048141094377670994	-0.0754038815660417	-0.08081399743027698	-0.04793951578922107	-0.05357952668618788	-0.05707639529858692	-0.06010230179028101	-0.07574457397601513	-0.05172492854195098
glycoprotein metabolic process	-0.05784772437260728	-0.08551171294891599	-0.2730104608673305	-0.23673783666725476	-0.10462478122141505	-0.07467653105879947	-0.08095697034979422	-0.12369280471959856	-0.10251023893364036	-0.08700143836868442	-0.07536305248837293	1.0	0.9331853661258426	-0.029096996257076322	-0.18175023091174095	-0.08998171349121194	-0.23829651994279347	-0.033997362887994244	-0.07306792346371445	-0.06478228694402137	-0.2739642503841869	0.7824603757741159	-0.10647896145729942	-0.2065127215666943	-0.21289437837391614	-0.07536305248837293	-0.127124405166554	-0.07144346143904193
glycoprotein biosynthetic process	-0.056452686638136046	-0.08249811914665456	-0.24865493766017333	-0.22046499108923426	-0.11103751059077195	-0.07236794825727617	-0.07825078215629071	-0.11748494742833211	-0.09820956901245956	-0.08388384255436306	-0.08525493484380481	0.9331853661258426	1.0	-0.028739767453985703	-0.1762514964749701	-0.09820956901245956	-0.2216919617081928	-0.04777347768578786	-0.07085625502470519	-0.06303778178371675	-0.2493860828811514	0.8445851646634868	-0.1018463657181293	-0.19638817380450854	-0.20151711935550662	-0.08525493484380481	-0.12057643869614365	-0.06932761659066596
DNA integration	-0.021887495866028693	-0.024940313778991096	-0.03125402841158093	-0.030759666329531497	-0.027041495235618333	-0.023927732435641506	-0.02453767161764484	-0.027407797831876867	-0.026207823442030743	-0.025065493031541927	-0.02518652871099422	-0.029096996257076322	-0.028739767453985703	1.0	-0.0297194937017534	-0.026207823442030743	-0.030783437102864093	-0.0204472406482915	-0.023760126457219984	-0.022811394730347247	-0.03126554984242818	-0.02821705426356652	-0.02645996234543576	-0.03024236747537436	-0.030361364989622674	-0.02518652871099422	-0.02757271925958551	-0.02358573768426181
monovalent inorganic cation transport	-0.06036130552880909	-0.09112078566366306	0.4252845333839034	0.6642365330093157	0.5759908184778133	-0.033007504222856754	-0.08596692320288246	-0.1357831384254049	-0.0999462793602716	-0.09281429071050036	-0.03893762607815763	-0.18175023091174095	-0.1762514964749701	-0.0297194937017534	1.0	0.03955910241225074	0.4576122680889652	-0.001963125471552787	-0.054084475726603784	-0.06795113181103989	0.37271258836937077	-0.15827096220628586	0.5220065346915242	0.5797118206884282	0.5338829106259296	0.038843800473148844	-0.11984274577031008	-0.0290667670892788
inorganic anion transport	-0.04744845629004237	-0.06458679558845806	0.16558156127766382	0.0033714031832317625	0.14396128211279502	0.788358437579781	-0.06195411668801717	-0.08422271697133638	-0.07383419689119101	-0.003368977951911188	-0.06626431521927331	-0.08998171349121194	-0.09820956901245956	-0.026207823442030743	0.03955910241225074	1.0	0.24389299512128002	-0.041162987848912876	-0.05722580995278753	-0.05201545634722501	0.15218050049241164	-0.09236275574707514	-0.057480061672933236	0.03564114187096871	0.31234903460400815	0.8974745850750698	-0.06959377565781813	0.7614976778595212
ion transmembrane transport	-0.06491838205345107	-0.09467176200012244	0.7142364701826956	0.6672902154984762	0.18807847061167926	0.17659549108502667	-0.09551614985094836	-0.15427069092438767	-0.11989433741470856	-0.08232576620949565	-0.06278343682411204	-0.23829651994279347	-0.2216919617081928	-0.030783437102864093	0.4576122680889652	0.24389299512128002	1.0	-0.016334330941477956	-0.05540673155982276	-0.07378161958132883	0.7053181426566011	-0.19397396013365595	0.2930955431480348	0.7910854964006705	0.8297391661532142	0.23363915439893956	-0.13933746197487618	0.1816676774070748
sperm-egg recognition	-0.03142153155570796	-0.0075871975249551474	-0.028502921645892947	-0.015727008393833834	0.0025998810692705126	-0.03580426455828504	-0.03718745789463626	-0.0011427235777634436	-0.041162987848912876	-0.038413361169103044	0.6438748478556591	-0.033997362887994244	-0.04777347768578786	-0.0204472406482915	-0.001963125471552787	-0.041162987848912876	-0.016334330941477956	1.0	-0.03543028435821713	-0.0333612854973603	-0.02880435820249633	-0.04634632418069002	-0.01668508789195768	-0.012559805048945875	-0.015008491646589175	-0.038698360420993116	-0.04463318127977104	-0.03504391069728139
sensory perception of taste	0.8560013896126463	-0.05150971414428946	-0.061840352495132776	-0.0548302404143405	-0.02092351212612604	-0.047369573640146906	-0.04982126540884622	-0.06327490380504489	-0.05722580995278753	-0.05204654220754501	-0.05257111762749707	-0.07306792346371445	-0.07085625502470519	-0.023760126457219984	-0.054084475726603784	-0.05722580995278753	-0.05540673155982276	-0.03543028435821713	1.0	0.9244068352999114	-0.06744516472782157	-0.06776147638310219	-0.03661827228094334	-0.04265949931944685	-0.06349934218786636	-0.05257111762749707	-0.06416088640662965	-0.04604774169014493
detection of chemical stimulus involved in sensory perception of taste	0.9308417452239927	-0.04724952012206024	-0.07122771127991182	-0.07364521238430924	-0.05540561185517095	-0.04374258066837193	-0.045824951413279365	-0.05696552719574738	-0.05201545634722501	-0.04770083282024919	-0.048141094377670994	-0.06478228694402137	-0.06303778178371675	-0.022811394730347247	-0.06795113181103989	-0.05201545634722501	-0.07378161958132883	-0.0333612854973603	0.9244068352999114	1.0	-0.07661312088602953	-0.06057643302164567	-0.05301816976859739	-0.07074785603742183	-0.07140253399463146	-0.048141094377670994	-0.05768262849250291	-0.042613005844493304
transmembrane transport	-0.06710039951308365	-0.10215632399306152	0.6883714920060615	0.5700751979448709	0.1622123645842846	0.09840733330585362	-0.10031582315170609	-0.16498838353511522	-0.13042599934345117	-0.09402404559738974	-0.0754038815660417	-0.2739642503841869	-0.2493860828811514	-0.03126554984242818	0.37271258836937077	0.15218050049241164	0.7053181426566011	-0.02880435820249633	-0.06744516472782157	-0.07661312088602953	1.0	-0.21484979239599458	0.17108629070159917	0.5256087372966158	0.5572702886631287	0.1344310221541615	-0.16156050114982975	0.10323792242563454
glycosylation	-0.05447063224841109	-0.07833272758574565	-0.21430691037661415	-0.19303397331381236	-0.10362121656130927	-0.06914271432142095	-0.07449348523091723	-0.10921446353706321	-0.09236275574707514	-0.07958099257611705	-0.08081399743027698	0.7824603757741159	0.8445851646634868	-0.02821705426356652	-0.15827096220628586	-0.09236275574707514	-0.19397396013365595	-0.04634632418069002	-0.06776147638310219	-0.06057643302164567	-0.21484979239599458	1.0	-0.0955723400344832	-0.1743215925875519	-0.1783508705544479	-0.08081399743027698	-0.11188107745613166	-0.0663621354994891
potassium ion transmembrane transport	-0.048281411656511605	-0.06613999632555555	0.17415825103358754	0.29878326501398916	0.05210715452466636	-0.037844604992046	-0.06338187580170544	-0.08688335322779549	-0.057480061672933236	-0.06702770964373352	-0.04793951578922107	-0.10647896145729942	-0.1018463657181293	-0.02645996234543576	0.5220065346915242	-0.057480061672933236	0.2930955431480348	-0.01668508789195768	-0.03661827228094334	-0.05301816976859739	0.17108629070159917	-0.0955723400344832	1.0	0.41572241799945764	0.38992941469127984	-0.04793951578922107	-0.07267115869379805	-0.0353688350340134
cation transmembrane transport	-0.06255806022977195	-0.0868919337140935	0.5331905583915665	0.8018970239517655	0.25053977302942937	-0.025731503333868082	-0.0904926063685019	-0.1387362637362638	-0.10923906216719526	-0.08880581935744655	-0.05357952668618788	-0.2065127215666943	-0.19638817380450854	-0.03024236747537436	0.5797118206884282	0.03564114187096871	0.7910854964006705	-0.012559805048945875	-0.04265949931944685	-0.07074785603742183	0.5256087372966158	-0.1743215925875519	0.41572241799945764	1.0	0.8196432024753434	0.029964224328576393	-0.1350666118292615	-0.02148853599272233
inorganic ion transmembrane transport	-0.06306939194237204	-0.08855040384172212	0.5651337646441685	0.6423524378881426	0.2231739985129203	0.24147095987102948	-0.09156647311503027	-0.14196512960765828	-0.11148615161490591	-0.07277763518138328	-0.05707639529858692	-0.21289437837391614	-0.20151711935550662	-0.030361364989622674	0.5338829106259296	0.31234903460400815	0.8297391661532142	-0.015008491646589175	-0.06349934218786636	-0.07140253399463146	0.5572702886631287	-0.1783508705544479	0.38992941469127984	0.8196432024753434	1.0	0.3144483628816698	-0.13055054625018073	0.24701517854211605
inorganic anion transmembrane transport	-0.04420334884033346	-0.05871900941169988	0.13689407827081168	-0.0033482340053355947	0.13318642276514112	0.8388919617897244	-0.05653487606146152	-0.0745128705022877	-0.06626431521927331	-0.013851291000782223	-0.06010230179028101	-0.07536305248837293	-0.08525493484380481	-0.02518652871099422	0.038843800473148844	0.8974745850750698	0.23363915439893956	-0.038698360420993116	-0.05257111762749707	-0.048141094377670994	0.1344310221541615	-0.08081399743027698	-0.04793951578922107	0.029964224328576393	0.3144483628816698	1.0	-0.058393855040918936	0.8606147685064889
cell-cell adhesion via plasma-membrane adhesion molecules	-0.05211946865216964	-0.07356063179347899	-0.15573749714836138	-0.15237457513625283	-0.08032223670181231	-0.04686923773230709	-0.0701647809249004	-0.10015555926632212	0.8379403370215427	-0.057186218816858404	-0.07574457397601513	-0.127124405166554	-0.12057643869614365	-0.02757271925958551	-0.11984274577031008	-0.06959377565781813	-0.13933746197487618	-0.04463318127977104	-0.06416088640662965	-0.05768262849250291	-0.16156050114982975	-0.11188107745613166	-0.07267115869379805	-0.1350666118292615	-0.13055054625018073	-0.058393855040918936	1.0	-0.04409245118173727
chloride transmembrane transport	-0.03949843260188256	-0.05069708491761834	0.1051616726189524	-0.03774245218257449	9.591736350228449E-4	0.9717113120627879	-0.04906064440767073	-0.062053061890010384	-0.05622456947926518	6.185630779488562E-5	-0.05172492854195098	-0.07144346143904193	-0.06932761659066596	-0.02358573768426181	-0.0290667670892788	0.7614976778595212	0.1816676774070748	-0.03504391069728139	-0.04604774169014493	-0.042613005844493304	0.10323792242563454	-0.0663621354994891	-0.0353688350340134	-0.02148853599272233	0.24701517854211605	0.8606147685064889	-0.04409245118173727	1.0
